EventTradeDate,Ticker,CAR_30D,ret_t0_t1,CAR_t1_t30,position,pred_reg,pnl
2017-05-05,ABEV3,-0.0475960429210789,-0.006854759242827,-0.0475960429210789,1,-0.09379872,0.0475960429210789
2017-07-28,ABEV3,-0.0123167186121149,-0.0005234232001748,-0.0123167186121149,1,-0.016057597,0.0123167186121149
2017-10-27,ABEV3,0.0312110663668921,-0.0061978744291779,0.0312110663668921,1,0.007901635,0.0312110663668921
2018-05-10,ABEV3,-0.0970208457424694,-0.0050331838148432,-0.0970208457424694,1,-0.064368516,0.0970208457424694
2018-07-06,ABEV3,0.0284100451000127,-0.0169913652084701,0.0284100451000127,1,0.018362638,0.0284100451000127
2018-07-27,ABEV3,-0.0676614325037199,-0.0040302321551539,-0.0676614325037199,1,-0.0033994787,0.0676614325037199
2018-10-26,ABEV3,0.044338892109202,0.0125871155069051,0.044338892109202,-1,0.03339827,-0.044338892109202
2019-03-01,ABEV3,0.0199456025225999,-0.0234890423310437,0.0199456025225999,1,-0.028346276,-0.0199456025225999
2019-05-08,ABEV3,-0.0071721666785837,0.0151816241629875,-0.0071721666785837,-1,-0.0028575917,-0.0071721666785837
2019-07-26,ABEV3,-0.0432138051978161,0.0157804241770991,-0.0432138051978161,-1,-0.003951666,-0.0432138051978161
2019-10-28,ABEV3,0.024207239970576,-0.0034149150965558,0.024207239970576,1,-0.06325963,-0.024207239970576
2017-03-23,ALPA4,-0.0098243654451031,-0.0024281679272778,-0.0098243654451031,1,0.08480997,-0.0098243654451031
2017-05-08,ALPA4,0.0056733803055682,-0.0015987213630578,0.0056733803055682,1,0.058940466,0.0056733803055682
2017-08-07,ALPA4,-0.0127199161438856,-0.0115765678276525,-0.0127199161438856,1,-0.011148978,0.0127199161438856
2017-11-14,ALPA4,0.0345827504749053,-0.008552281816174,0.0345827504749053,1,-0.1260989,-0.0345827504749053
2018-02-14,ALPA4,0.0151287298612476,0.0056479597910889,0.0151287298612476,-1,-0.050679144,0.0151287298612476
2018-05-15,ALPA4,-0.0949389331562029,-0.0417169008376043,-0.0949389331562029,1,0.044963613,-0.0949389331562029
2018-09-28,ALPA4,0.1427093956872091,-0.0177998227010727,0.1427093956872091,1,0.10807662,0.1427093956872091
2018-11-12,ALPA4,0.0851739260496402,-0.0255165953838069,0.0851739260496402,1,0.081590526,0.0851739260496402
2019-02-18,ALPA4,0.0034030396269116,0.0159345442931948,0.0034030396269116,-1,-0.056406114,0.0034030396269116
2019-05-14,ALPA4,0.1377419552805712,0.0222031323173083,0.1377419552805712,-1,-0.029400835,0.1377419552805712
2019-08-12,ALPA4,0.0465372500692309,0.0255333020065074,0.0465372500692309,-1,-0.0037155005,0.0465372500692309
2019-11-11,ALPA4,0.1051963833314886,0.0429794926592795,0.1051963833314886,-1,-0.08084371,0.1051963833314886
2017-03-28,ALSC3,0.0751245616907895,0.0354019270544853,0.0751245616907895,-1,-0.06536566,0.0751245616907895
2017-05-11,ALSC3,0.0371950043247306,0.0461377245345846,0.0371950043247306,-1,0.014185778,-0.0371950043247306
2017-08-10,ALSC3,0.0134688652948479,-0.0065456943025762,0.0134688652948479,1,-0.005855287,-0.0134688652948479
2017-11-09,ALSC3,0.0003356847813861,-0.0276082145684016,0.0003356847813861,1,0.021581993,0.0003356847813861
2018-03-13,ALSC3,-0.1087973235713736,0.0260567112736563,-0.1087973235713736,-1,0.011461029,0.1087973235713736
2018-05-07,ALSC3,0.0175641768658721,0.0061919702519648,0.0175641768658721,-1,-0.014737438,0.0175641768658721
2018-08-09,ALSC3,-0.0450160637934301,-0.0231415285600982,-0.0450160637934301,1,0.030780299,-0.0450160637934301
2018-11-09,ALSC3,0.0635177909399572,0.0017326022290144,0.0635177909399572,-1,0.012261209,-0.0635177909399572
2019-02-27,ALSC3,-0.0379891473765616,-0.0049382816388018,-0.0379891473765616,1,0.01719376,-0.0379891473765616
2019-05-09,ALSC3,0.1892856386456577,0.0088611473736907,0.1892856386456577,-1,0.022174316,-0.1892856386456577
2019-07-30,ALSC3,0.0309938451741542,0.0075853713892565,0.0309938451741542,-1,-0.059542194,0.0309938451741542
2017-03-21,ALUP11,-0.0133234307427871,0.0015548072590932,-0.0133234307427871,-1,-0.02842731,-0.0133234307427871
2017-08-15,ALUP11,-0.0286083995522234,-0.0027137058695809,-0.0286083995522234,1,0.112839706,-0.0286083995522234
2017-11-10,ALUP11,-0.0173480599960579,-0.0056085396554299,-0.0173480599960579,1,0.068649255,-0.0173480599960579
2018-03-09,ALUP11,-0.0149663715930078,-0.0016887141692872,-0.0149663715930078,1,0.052593358,-0.0149663715930078
2019-05-15,ALUP11,0.0473123218203565,-0.0189307876644703,0.0473123218203565,1,-0.010318886,-0.0473123218203565
2019-05-16,ALUP11,0.0690103075679371,-0.0270286723829476,0.0690103075679371,1,0.039636604,0.0690103075679371
2019-05-23,ALUP11,0.0599624797374579,-0.0264916154484008,0.0599624797374579,1,0.02433041,0.0599624797374579
2019-05-28,ALUP11,0.1107469956791731,0.0193668024923655,0.1107469956791731,-1,0.047269743,-0.1107469956791731
2019-07-15,ALUP11,-0.0263407478183367,-0.0056550574809525,-0.0263407478183367,1,-0.03005904,0.0263407478183367
2019-08-14,ALUP11,-0.0741077491544817,-0.0059106193500057,-0.0741077491544817,1,-0.012608448,0.0741077491544817
2019-11-14,ALUP11,0.136335822604107,0.005435932269111,0.136335822604107,-1,-0.08681986,0.136335822604107
2017-03-15,ANIM3,-0.0737803946773971,-0.0542257375591164,-0.0737803946773971,1,0.03866331,-0.0737803946773971
2017-05-11,ANIM3,0.0864792889587746,0.0499293326990966,0.0864792889587746,-1,0.051893473,-0.0864792889587746
