Year,CLS_AUC,CLS_ACC,REG_RMSE,REG_R2,n
2017,0.6280558414822439,0.6,0.11502963789349589,-0.008878448194200583,500
2018,0.5673737018130611,0.5258126195028681,0.13402580610803694,-0.04698584754435653,523
2019,0.5119096229753641,0.5077519379844961,0.15097409954901708,-0.19728348919156558,516
