Ticker,AnnounceDate,EventTradeDate,CAR_30D,CAR_Sign,Beta,EstimationLen,FundSource,Data,Empresa,RL,LL,EBITDA,Preco_Abertura,Preco_Fechamento,LPA,ROA,ROE,MEB,CRESC_RL_12M,CRESC_LL_12M,CRESC_EBITDA_12M,CAPEX,FCO,FCF,Divida_Liquida,PL,Divida_Bruta,AT,DVA_Despesas_Fin,PC,PNC,Outros_PC,LUB,Consolidado,Convencao,Moeda,Data_Demonstracao,Meses,Data_Analise,QuarterEnd,RL_MET,RL_Q_Change,RL_Y_Change,LL_MET,LL_Q_Change,LL_Y_Change,EBITDA_MET,EBITDA_Q_Change,EBITDA_Y_Change,Preco_Abertura_MET,Preco_Abertura_Q_Change,Preco_Abertura_Y_Change,Preco_Fechamento_MET,Preco_Fechamento_Q_Change,Preco_Fechamento_Y_Change,LPA_MET,LPA_Q_Change,LPA_Y_Change,ROA_MET,ROA_Q_Change,ROA_Y_Change,ROE_MET,ROE_Q_Change,ROE_Y_Change,MEB_MET,MEB_Q_Change,MEB_Y_Change,CRESC_RL_12M_MET,CRESC_RL_12M_Q_Change,CRESC_RL_12M_Y_Change,CRESC_LL_12M_MET,CRESC_LL_12M_Q_Change,CRESC_LL_12M_Y_Change,CRESC_EBITDA_12M_MET,CRESC_EBITDA_12M_Q_Change,CRESC_EBITDA_12M_Y_Change,CAPEX_MET,CAPEX_Q_Change,CAPEX_Y_Change,FCO_MET,FCO_Q_Change,FCO_Y_Change,FCF_MET,FCF_Q_Change,FCF_Y_Change,Divida_Liquida_MET,Divida_Liquida_Q_Change,Divida_Liquida_Y_Change,PL_MET,PL_Q_Change,PL_Y_Change,Divida_Bruta_MET,Divida_Bruta_Q_Change,Divida_Bruta_Y_Change,AT_MET,AT_Q_Change,AT_Y_Change,DVA_Despesas_Fin_MET,DVA_Despesas_Fin_Q_Change,DVA_Despesas_Fin_Y_Change,PC_MET,PC_Q_Change,PC_Y_Change,PNC_MET,PNC_Q_Change,PNC_Y_Change,Outros_PC_MET,Outros_PC_Q_Change,Outros_PC_Y_Change,LUB_MET,LUB_Q_Change,LUB_Y_Change,EPS_EarningsSurprise,EPS_Earnings_Surprise_Backward_Diff,EPS_Earnings_Surprise_Backward_Ave_Diff,ret_t0_t1,MA5,MA50,MA200,RSI9,RSI14,RSI30,MA5_50,MA5_200,MA50_200,MOM_1M,MOM_3M,MOM_6M,MOM_12M,SectorID,SectorName,Year,Quarter,CAR_pred,Rank
EZTC3,2017-11-09,2017-11-10,0.0767351062411156,1,0.9111184894617168,504,EZTC3.SA.csv,30/09/2017,EZTEC,1046.036,405.917,348.782,22.84,22.85,2.46007644657,11.3955496613,13.3170412276,33.3432118971,62.1306269,52.6342309,117.3773761,,711.311,-163.729,-833.534,3048.102,297.581,3562.066,,470.639,43.325,84.514,491.093,consolidado,IFRS,BRL,2017-09-30,12,2017-10-02,2017-09-30,1.6238930237014182,2.4255188249687376,1.127935359034062,1.7592012892694917,2.37183409696076,1.161325628696526,1.7559897562213198,2.361752244518484,1.2681534129516936,0.0996701771897193,0.7963850094510625,0.5132664518278426,0.0798933508729844,0.7353615326993901,0.4759387076832453,1.80051161120221,2.516706567042,1.2367317387855246,1.391562109660322,2.172014865571286,0.986369388311386,1.3690962518668304,2.1121547218000614,0.991202839664848,1.3023377770199915,1.2074059096707912,0.9078568585116252,0.8604078249015523,1.3234006621731516,0.7928693595283827,0.6777105495516831,1.035177538881196,0.7357018382658352,0.9610014783229376,1.4010446188715004,1.1177391037001845,,,,1.3336972452122893,2.412989537943892,0.8900935848477878,0.1354363151006159,-0.9301672467893136,-0.1594680777899154,-1.261295721345606,-1.3690098138795403,-1.3892080093783254,0.759411451967632,0.6240248716386488,0.4542985190609586,0.9986388160315752,-1.0006192762559851,0.4014398405020475,0.7901509826205487,0.0467817729480541,0.4041019873874728,,,,0.9462382532563576,-1.8184473045665013,0.7389599207863916,-1.3720445884989458,0.0818566730356175,-1.372560018873197,-1.759509393020314,-2.4352136426097,-0.0275794117017889,1.7869999905699565,2.3801397575937857,1.2606425958447434,2.516706567042,1.678885638906309,2.1022494893658346,-0.0258898903821604,-0.6248629280275819,-0.4106200436825961,-0.5798559954181456,-1.196086464202848,-1.4854823644296475,-1.2919255166245225,-1.3870240530190894,-0.6451514035304267,0.2159880618446327,-2.084688062285344,-0.4341486142985558,-0.9329128183620796,0.1066171939446199,2,Consumo Cíclico,2017,4,0.0683221,1
ALSC3,2017-11-08,2017-11-09,0.0003356847813861,1,0.8551294877194588,504,ALSC3.SA.csv,30/09/2017,ALIANSCE,503.804,60.55,308.467,18.64,18.53,0.29945011661,1.26142942558,2.39671750637,61.227580567,-1.7019591,1341.323494,-11.5217591,,373.43,-8.407,-442.614,2526.372,0.0,4800.11,,377.632,1896.106,342.27,372.406,consolidado,IFRS,BRL,2017-09-30,12,2017-10-02,2017-09-30,-0.0748981353123445,0.6153680495767614,-1.255688913032981,-0.4123888062379165,1.0988787927791597,0.5486215375271892,-0.7361126078115777,0.5295860586416593,-0.0698188102775018,0.3418992396913126,1.1707580675782492,0.2339316219368823,0.3103992302902997,1.023200741675297,0.1701929209477783,-0.4143034158630471,1.1152669070391177,0.5621624687151326,-0.4205019244557603,1.13936358250829,0.5493913422491067,-0.3954094016197996,1.0907926358514877,0.5848438483426343,-0.8923543955230234,0.4873133075597947,0.0371084971902392,-1.2364564738358632,-0.4110117739428197,-2.233327300214866,1.8316061360308689,1.18445388779973,1.4838460847975783,-0.3234648515038338,1.7620300908788586,0.3762502957132551,,,,0.7241214104664518,0.0791764053750919,1.0510308061332565,0.280733000733995,-1.7953276563449228,0.0578904406974135,1.000536463877193,2.096336317889449,0.3025804669726996,-0.6489301962975205,-0.1962190982527164,0.2803984036198635,-0.0005523179684572,-0.004265390299033,-0.0019986937998899,-0.0843445938351329,-1.333965783861533,0.4899625369103482,,,,0.3728335148847118,-2.6756875223034124,-0.3393120507754512,-0.495735019532215,-0.5798545711844426,1.596551856006613,0.3915768199718846,-2.54920432643053,-0.4048949186777985,-0.6132416875150828,0.3005510716936434,-1.96299504726926,1.1152669070391177,-0.1810693310751032,1.5903451684508028,-0.0276082145684016,-0.261839519158092,0.2172428421519634,-0.4601742511337507,-1.3812963190632943,-1.4761970789319974,-1.0777603126766682,-1.2893205703532096,-0.0464536378612057,0.9599237720309076,-1.4340312881483623,-0.2951429787477448,0.2913425707118525,-0.3425232526461247,4,Financeiro e Outros,2017,4,0.06692463,2
LEVE3,2017-11-14,2017-11-16,0.0577258088564834,1,0.462237449814833,504,LEVE3.SA.csv,30/09/2017,METAL LEVE,2231.99,35.386,155.653,19.95,19.48,0.275788431787,1.44205514661,2.62654918229,6.97373196116,-2.446966,-79.6792181,-52.9648354,,326.348,-97.167,31.514,1347.243,428.257,2453.859,,547.536,559.08,34.543,591.926,consolidado,IFRS,BRL,2017-09-30,12,2017-10-02,2017-09-30,-1.020819636925737,0.2792518847913465,-0.6722783390819307,-1.125193179280133,0.5883491109006608,-0.9517956589004876,-1.1870471201153396,0.4040464040067685,-0.930881766593526,-1.590303284246131,0.3045667997669298,-1.1408841590398349,-1.6442404937209496,0.2164845744568282,-1.1527263002039696,-1.134710683782298,0.5961345470186131,-0.9581655412293432,-1.1398404471775756,0.538865782088841,-0.921480955301662,-1.1343786806610645,0.5770794613720238,-0.9517189562190184,-1.1749183226775262,0.439347627550967,-0.9183375176634996,-0.700269427428969,1.4591386883101984,0.0863033059315591,-0.2031967035131924,0.0107673574982306,-0.0350047326798996,-0.8615811040439022,0.1454702167512061,-0.1569908039908001,,,,0.9774342010804582,0.5186401655906877,0.5394678283384561,0.6400317183379783,-0.5094694877978471,0.5479007923197872,-1.289689388606489,-0.777114038705997,-1.343733315217461,0.4548864684469382,0.4901456492896645,-0.1838411970408038,0.6065072264594144,-0.4754783957000538,-0.154283584991666,1.048326821723117,0.0735081597261216,-0.3921806802392152,,,,-0.1899159406012842,-1.4398776109621538,0.884816816876136,0.7846657386471511,1.376727044347514,-0.9146696100297904,-1.217904703878909,-0.435139531265525,0.1774307790721953,-0.9540360641450908,1.2574410541705754,-0.4578050592689137,0.5961345470186131,0.4142845839045576,1.0915660024845255,0.0450729739526865,-0.946736677497076,-1.0751610237808955,-1.3988253098784178,-0.5637825980065632,-0.3894844008938767,0.1708347992580063,0.2416741277158694,0.3699496188974941,0.3443084718719698,-0.8617000158921299,1.2282831209496148,-0.5379496707380998,-0.0681630433037891,1,Bens Industriais,2017,4,0.05238686,3
EMBR3,2017-10-27,2017-10-30,0.0450909421933373,1,0.2069564230752036,504,EMBR3.SA.csv,30/09/2017,EMBRAER,19760.447,1372.07,2902.223,18.0,18.06,1.87220275522,3.60300625597,10.3789688642,14.6870311183,-13.0576378,262.47804,118.93441,,835.287,1161.292,3527.642,13219.714,13644.217,38081.255,,8240.893,16620.648,4100.857,3638.101,consolidado,IFRS,BRL,2017-09-30,12,2017-10-02,2017-09-30,0.7181405953257268,0.0637901786954315,-0.606772823098698,1.8034877162445009,1.400937703310648,1.5105300208247427,1.7818729772511337,0.6887818455483161,2.146879744707143,-0.4930602539086505,1.1776341598298932,0.8055257973778517,-0.4317075717328864,1.044685057335951,0.790510436725556,1.818744464246216,1.4268047627887457,1.5178698197621072,1.88423632646774,1.52969847316966,1.560089002682722,1.8896531538769197,1.4867359254367465,1.537780752271101,1.8962729211428504,0.8856235201160784,2.1734909793877923,-0.3474745533567293,0.0162460598988927,-1.1336989785400766,0.1028892625730763,-0.4956012713006248,-0.2149914560657796,2.5646008489275536,1.2854003055011485,2.17973144431415,,,,-0.6255293503374924,-0.2800772762419662,-0.2431898826730145,1.1570292789194916,-0.1833904498179109,1.2764169135684802,0.6585023740085444,0.2686145516155991,0.5518314870388389,-1.0438672000084797,-0.8945055193697071,0.2337273844301451,0.5102954268715036,0.1789940241362539,0.6327983071453215,-1.2214661674613456,-1.0091700484492976,-0.5840085602847248,,,,-0.8645722915654365,-0.511607637044761,-1.137710837403607,0.5484436662120887,0.0972616029217241,0.7383294283150552,-0.4883757962461119,-0.0155191727896263,-0.6583249818891813,0.7292354753448046,0.3381477046266686,-0.1503776876600639,1.4268047627887457,-0.127269229868991,1.1104604511018223,-0.0103027311891179,-1.185153233241852,-0.8253879517526046,-1.0304801904711072,-0.9694696230687004,-1.1674585155205273,-1.1504708119407887,-0.986520398930104,-0.4574419955632823,0.1215745792767086,-1.3860389501655066,-0.0914903225898595,-0.0223611528700772,0.1724812195076817,1,Bens Industriais,2017,4,0.05202836,4
VVAR3,2017-10-25,2017-10-26,0.0043016354160128,1,0.6745441908076772,504,VVAR3.SA.csv,30/09/2017,CASAS BAHIA,24913.0,141.0,1315.0,7.89,7.99,0.109151459649,0.847967284099,4.89753386593,5.27836872316,33.8329,-141.9643,49.4318,,483.0,-1095.0,3309.0,2879.0,3848.0,16628.0,,11072.0,2677.0,2077.0,7996.0,consolidado,IFRS,BRL,2017-09-30,12,2017-10-02,2017-09-30,0.0439924857607651,1.6971921016778422,1.4896584723517214,0.6741836448280965,0.8027062950494909,1.1962176004437255,0.5905325769778659,0.9298853005826988,0.9263908612686914,1.2108671828498043,2.173822078534503,1.3159294450776513,1.300735771593472,2.18579667629418,1.2530651666837629,0.6788586694343332,0.81364147795546,1.202703166208018,0.7420560921948877,0.7420922442673816,1.4039993054075974,0.5997226711094014,0.7786079485464448,0.8875316966260312,0.5169419700629474,0.7067686274332873,0.7015105190656519,1.6698922960157814,1.3625153995749295,1.4693009501398042,0.4082279601321516,0.0103767410844094,0.4078878427891327,1.037041932396188,0.2746089660964468,1.189589598500966,,,,-0.008994035921953,-0.0036146129445412,0.1326704090687444,-0.997950059259456,0.0465279038087941,-1.540833108367187,0.5056197072895424,0.2706621241356122,1.0637858771359967,0.5674442242445025,0.5616121656304275,-0.8450176091881308,-0.5575915993116575,0.1195687642258721,0.4680213658953213,-1.1615583863807726,0.0987908902628637,0.4928734109806686,,,,-1.3077713088253735,0.0440127113947158,1.5110767699980314,-0.4833123918114342,-0.3274208766864904,-0.4277757944311007,0.1857973610854102,1.2813295153387865,0.8261413233524475,0.4960133162928251,1.5527303879423275,1.2956760799184777,0.81364147795546,0.7651017612962584,0.2286321423513001,-0.0278852034885154,0.9200712721306206,0.8445020302108673,-0.3844618277739732,0.2971247163977861,0.2851207068617391,0.7279969839517697,0.1173385681364302,1.495232338734048,1.9082913711271872,0.3779664482452624,0.85999732398436,1.3533640454009153,1.0495386014638597,2,Consumo Cíclico,2017,4,0.051641934,5
QUAL3,2017-11-07,2017-11-08,-0.1718346814054507,0,0.7465700716802242,504,QUAL3.SA.csv,30/09/2017,QUALICORP,2082.705,373.764,819.717,37.68,37.14,1.31112542528,9.80394162709,16.3958545813,39.3582864592,8.8027805,-7.3965978,20.9775111,,722.912,,-270.011,2279.625,633.063,3812.385,,770.159,762.601,382.837,1571.096,consolidado,IFRS,BRL,2017-09-30,12,2017-10-02,2017-09-30,1.5457201408070136,0.6732065855105394,0.9460477674192498,-0.4618550021991254,1.31918460087725,-0.7560843115851733,-0.5816873602575267,0.6418576119513822,0.3593882870575569,2.0335663501773977,1.3923192384038554,1.3573347313530884,1.9554353438580696,1.1215048360523507,1.2204068698057269,-0.6440407556543623,1.2201538437832813,-0.861746528737259,-0.7887160804679072,0.7330130121424316,-0.7528079690229834,-0.4155475052890161,0.7633107095601165,-0.5754271231366423,-0.7875215333222131,0.3561885023911119,-0.4041738106798475,0.8841380743134356,-0.5148004428303973,0.1090280021176298,-0.672009276107116,0.5912359734966898,-1.2916862458018985,0.8740188477663894,0.6141812151450743,0.7144117339253229,,,,0.3138038727806728,-0.0627904081234809,0.5106802115871948,,,,-2.28492043449776,-0.801720457539016,-1.3487745707991696,-0.0245249873002251,0.5270305476410428,-0.4046531213065093,-0.3164779880413945,-0.3002582930233398,0.0283303688880677,0.5634253975109237,0.3634591979883718,0.2167747805226024,,,,0.1454588932197628,0.5137759574880868,-1.1459955676823417,0.2427214908068726,-0.2519660980990755,1.305760597299901,1.390457141300907,0.3432930325569546,0.1692376955406624,0.3930638480265966,0.7069120568017074,0.9238075793922208,1.2201538437832813,0.9939188562669764,0.8252565875334641,0.0315262536447343,1.2041789958746765,1.6805952749382034,0.9596908925834556,-1.1337860041490728,-1.1140540240506782,-0.7773569333862248,-0.8851698482969262,0.3897980554833576,1.012101612570257,-1.3909859922073364,-0.2912066910319932,0.5570925161247534,0.8419862176816402,7,Saúde,2017,4,0.051034484,6
PSSA3,2017-10-31,2017-11-01,-0.0060200248620039,0,0.657287536891117,504,PSSA3.SA.csv,30/09/2017,PORTO SEGURO,16548.541,1131.519,459.009,37.67,37.89,3.4999798944,4.17955695741,14.9634119974,2.77371280042,2.6501392,25.4356919,32.577263,,1670.32,,-10519.566,7561.905,0.0,27072.702,,14754.822,4755.975,14329.234,16548.541,consolidado,IFRS,BRL,2017-09-30,12,2017-10-02,2017-09-30,-0.9399572299907109,0.1071587077187957,-0.7934665647803998,-0.2100758015145524,2.219106175079931,0.7661134604796245,-1.0462085092084712,-0.3393624734869118,-0.5993003873213686,-0.542520874728952,0.6955369208493857,-0.0904403962981553,-0.5071258735122326,0.7831587726290098,-0.0730354077122835,-0.2162556115003705,2.233090837709136,0.7716460053864769,0.3985933356153138,1.7540624559205442,0.7338503633730822,-0.282544414935941,1.208739965728136,0.5142661007346335,-1.0605081782069132,-0.3356845835115474,-0.5535823420888211,-0.7739958008312834,-0.1769455976750573,,0.9591827528197834,1.5586566023567807,1.2914988051892289,-0.5071207621320784,0.0007436068340243,0.4023512218603519,,,,1.0878866330699763,0.6842461208313255,0.7450546509599635,,,,-0.184912844772895,-0.4551619293828767,-2.3345396042125306,0.1402846038706651,1.693966622213485,0.8264325424352402,-0.0005523179684572,-0.004265390299033,-0.0019986937998899,-0.8201875829778402,0.7766972970825545,0.6679023865370947,,,,-0.9321895039843524,0.150337496278738,0.2277744918287742,-0.950239718407497,0.0566821529480786,0.2946761394318319,-0.952872587473233,0.044420359841574,0.221683791994469,-0.9383789657935916,0.1069351497339204,-0.7888799750148768,2.233090837709136,1.072625703850142,2.5195697757856976,-0.005898065123427,-0.8157843321382992,-0.7874675584014397,-0.9702894678936388,-1.605428785206948,-1.3816227517517423,-0.4218398591494938,-0.1808613910006306,0.8970762483621164,1.2158275683033393,-0.6485958872148618,0.9798034600102667,0.8690389078304713,-0.4305175007576392,4,Financeiro e Outros,2017,4,0.050785195,7
LCAM3,2017-10-25,2017-10-26,-0.0279889677225643,0,0.1017276593519765,504,LCAM3.SA.csv,30/09/2017,LOCAMERICA,,,,13.35,13.25,,,,,10.463544,93.2574692,5.5674894,,,,,461.596,,2182.333,,598.549,1122.188,39.331,,consolidado,IFRS,BRL,2017-09-30,0,2017-10-02,2017-09-30,,,,,,,,,,-1.2490451425654552,-0.0218023180254274,-1.1026704567713104,-1.2611853442728438,0.0027882582643721,-1.1889515829634638,,,,,,,,,,,,,-0.9365390554940212,-0.674556132301505,-0.9037521089158056,-1.017946929134139,0.0108693348451649,0.4003614252333273,-1.0164715084991292,-0.5067718172726952,-1.0036184714791327,,,,,,,,,,,,,-1.3689263646593828,-0.6274844372097697,,,,,-1.477277258950737,-0.6245718488861156,,,,,-1.4383884708692112,-0.3300564343178277,,-1.516447100084858,-0.6251231299007045,,-1.1972477353701418,0.2361126295165274,,,,,,,,0.0311551677792124,-1.3443289845790114,-1.385346645078001,-1.3392746353647995,1.3609946906301802,1.592088348288248,1.927087889160615,1.6948337488448273,1.338764770869724,0.5932321979372975,1.23549094554973,1.088341448527241,0.8167432915714428,1.025072989462573,2,Consumo Cíclico,2017,4,0.05076846,8
SLCE3,2017-11-28,2017-11-29,0.1966467052832175,1,0.3370290649058047,504,SLCE3.SA.csv,30/09/2017,SLC AGRICOLA,2122.718,346.682,675.474,22.35,22.1,3.58788577868,6.601080219,12.6414764786,31.8211839726,31.5494845,-649.6607052,542.4947448,,554.22,-321.593,858.0,2742.417,1484.194,5251.898,,1581.767,927.714,458.951,714.79,consolidado,IFRS,BRL,2017-09-30,12,2017-10-02,2017-09-30,-0.5539636844794514,1.3705180604464366,0.3086250358321046,0.1222848517409681,0.7767497339610061,1.3265337366218763,0.1234995187813717,0.6806030615066808,1.4002403519571551,-0.6557302185664395,-0.1480557479128928,0.0018532175467628,-0.6943130489699939,-0.2208678639246248,-0.0414034840768381,0.144411137409861,0.7975519827522024,1.2118957926981682,0.2078267090394945,0.6424332102608312,1.3014004106266652,0.1505147566065305,0.8821861305695385,1.3396833728466684,0.7481145809883736,0.2124818995667263,1.7138190603095955,0.6109914450462672,1.4917880157377716,1.0121815080715666,-1.048209702442862,0.2171437271562586,-0.4916795564297347,2.73619875890456,1.9004814599591504,2.151523993102954,,,,1.0606432598894522,1.5826632094501147,1.8322947995690804,-0.361929889966779,-0.8532178093317093,-0.9825264220220782,-0.864099117633666,-0.8227252832666627,-1.425042296143147,-0.4581353445208582,-1.331080178900711,0.8425277080613509,-0.9224645266350442,-0.1640341086173839,-1.191088367450699,-0.572467217964462,0.3298634099877837,-0.1312792603110093,,,,-0.5443823085778957,0.4971553748799273,0.375513230917906,-0.4538887726108862,0.4751803176260705,-0.6707409698003829,0.8984187006971569,1.7026470402414131,1.7762282150378603,0.1324851008921496,0.6670382575746558,1.4783539854824286,0.7975519827522024,-0.8813416611231996,1.0247416982837394,-0.030011078414896,-0.9671689002823318,-0.9153018115411048,-0.8813287831234546,0.5823224239060647,0.3477321982649918,0.0884961579545117,-0.0672705465623575,-0.0146474391443807,0.0371898267637083,0.346431309108668,-0.3429781602111217,-0.0889802813754912,0.2580678994051241,3,Consumo Não Cíclico,2017,4,0.046520956,9
LINX3,2017-11-06,2017-11-07,0.0031594025683936,1,0.3625794936289579,504,LINX3.SA.csv,30/09/2017,LINX,546.148,85.751,134.416,19.65,19.44,0.522492280929,5.63834900546,7.36312264887,24.6116437303,12.4670773,29.5469309,6.5043936,,85.101,-109.52,-460.525,1164.601,106.714,1520.853,,164.149,192.103,68.261,382.254,consolidado,IFRS,BRL,2017-09-30,12,2017-10-02,2017-09-30,-0.856957214224093,-0.1014403742806203,-0.9105456766239844,1.057538106548011,0.5574292507423267,1.3051394423831988,-0.9672825231275164,0.0141877068575896,-0.9242566979590788,-0.5363554585462478,0.166955116333817,-0.0476783812869725,-0.5555354466886567,0.1266818838037243,-0.0917440477724491,0.9979943761405324,0.5730572189271231,0.9173268838127548,0.9719088973017512,0.2884643141169007,1.8416989699314823,0.8192778929578998,0.4398309876723409,1.6238951379357631,-0.9340341693552744,0.1097740525240292,-0.6897577973742121,-0.7629790542849076,1.0415241302064553,-0.0367038098990973,1.391016433597044,0.5368453250690499,1.212298458833053,-0.8482814520357328,0.7095542604440684,-0.0503170674327229,,,,-1.1178146607970885,-1.1167359693796228,0.3274022400386729,-0.8304862778038545,-1.8047352383193287,-1.248534781503745,-0.1044546292926036,0.2891174960068594,0.5828860966724748,-0.3586105568709903,-0.2378716985248119,-0.6739140922156519,-0.8487786494371726,-0.6682458803086393,-0.8434283945882218,-0.5885451413444075,-0.1842259279116912,-0.8770152135476159,,,,-0.7018847149029862,0.8411637430813238,-0.3567937865146667,-0.8886767055053604,-0.0469347382086086,-0.8130315751556805,-0.5895098441924191,2.102343582987264,0.2541279181416496,-0.8997693654862803,0.3118222630222478,-0.7216130398583178,0.5730572189271231,-0.3953988369129279,1.6155320634830306,-0.0140517534571998,-0.5325306906546395,-0.536214084973092,-0.7899743928505351,0.9644207673556204,0.9110738315693522,1.2244417258501057,0.0570460317672817,0.5743384083798433,0.5677060500190501,0.3470269814767012,1.1095166244219203,0.7384817742048125,-0.4564426982887519,8,Tecnologia da Informação,2017,4,0.044601124,10
