RankStart,AvgCAR30
1,0.022460712499184212
2,0.021247559723553508
3,0.018695910381294718
4,0.01734887137712202
5,0.016049636588142367
6,0.013271206502199874
7,0.010466061648456253
8,0.011892037210346186
9,0.007840572717078418
10,0.0032909982091795208
11,0.0005939131813966223
12,-0.0002592702764111456
13,-0.00039228088354179
14,-0.0022115538750304476
15,-0.0015178700986760974
16,-0.00319888777512764
17,-0.004745774123470291
18,-0.007014398906036247
19,-0.009576798836304688
20,-0.012375706211580477
21,-0.013290928087170735
22,-0.014014622891196428
23,-0.013738676443767917
24,-0.014369513578550154
25,-0.01570959046016542
26,-0.01840499314792412
