RankStart,AvgCAR30
1,-0.00412088039394342
2,-0.009928078310529512
3,-0.01199525879361588
4,-0.012183931934373827
5,-0.013571250480107823
6,-0.01284618774325564
7,-0.013178714663066065
8,-0.011764088693004455
9,-0.009908670240861428
10,-0.007982109451820789
11,-0.007520132043116403
12,-0.010117256348331828
13,-0.010002026487641367
14,-0.009065168320757573
15,-0.007312566208325878
16,-0.006990167890631615
17,-0.0074847241149648466
18,-0.005362089971309217
19,-0.00924023516238053
20,-0.008931829617687535
21,-0.008912080505003903
22,-0.01020766192821468
23,-0.011824202321320636
24,-0.012061316549668875
25,-0.012061441857813826
26,-0.013210026194079787
27,-0.01357307092784284
28,-0.015379863800175041
29,-0.015708707381327375
