Ticker,AnnounceDate,EventTradeDate,CAR_30D,CAR_Sign,Beta,EstimationLen,FundSource,Data,Empresa,RL,LL,EBITDA,Preco_Abertura,Preco_Fechamento,LPA,ROA,ROE,MEB,CRESC_RL_12M,CRESC_LL_12M,CRESC_EBITDA_12M,CAPEX,FCO,FCF,Divida_Liquida,PL,Divida_Bruta,AT,DVA_Despesas_Fin,PC,PNC,Outros_PC,LUB,Consolidado,Convencao,Moeda,Data_Demonstracao,Meses,Data_Analise,QuarterEnd,RL_MET,RL_Q_Change,RL_Y_Change,LL_MET,LL_Q_Change,LL_Y_Change,EBITDA_MET,EBITDA_Q_Change,EBITDA_Y_Change,Preco_Abertura_MET,Preco_Abertura_Q_Change,Preco_Abertura_Y_Change,Preco_Fechamento_MET,Preco_Fechamento_Q_Change,Preco_Fechamento_Y_Change,LPA_MET,LPA_Q_Change,LPA_Y_Change,ROA_MET,ROA_Q_Change,ROA_Y_Change,ROE_MET,ROE_Q_Change,ROE_Y_Change,MEB_MET,MEB_Q_Change,MEB_Y_Change,CRESC_RL_12M_MET,CRESC_RL_12M_Q_Change,CRESC_RL_12M_Y_Change,CRESC_LL_12M_MET,CRESC_LL_12M_Q_Change,CRESC_LL_12M_Y_Change,CRESC_EBITDA_12M_MET,CRESC_EBITDA_12M_Q_Change,CRESC_EBITDA_12M_Y_Change,CAPEX_MET,CAPEX_Q_Change,CAPEX_Y_Change,FCO_MET,FCO_Q_Change,FCO_Y_Change,FCF_MET,FCF_Q_Change,FCF_Y_Change,Divida_Liquida_MET,Divida_Liquida_Q_Change,Divida_Liquida_Y_Change,PL_MET,PL_Q_Change,PL_Y_Change,Divida_Bruta_MET,Divida_Bruta_Q_Change,Divida_Bruta_Y_Change,AT_MET,AT_Q_Change,AT_Y_Change,DVA_Despesas_Fin_MET,DVA_Despesas_Fin_Q_Change,DVA_Despesas_Fin_Y_Change,PC_MET,PC_Q_Change,PC_Y_Change,PNC_MET,PNC_Q_Change,PNC_Y_Change,Outros_PC_MET,Outros_PC_Q_Change,Outros_PC_Y_Change,LUB_MET,LUB_Q_Change,LUB_Y_Change,EPS_EarningsSurprise,EPS_Earnings_Surprise_Backward_Diff,EPS_Earnings_Surprise_Backward_Ave_Diff,ret_t0_t1,MA5,MA50,MA200,RSI9,RSI14,RSI30,MA5_50,MA5_200,MA50_200,MOM_1M,MOM_3M,MOM_6M,MOM_12M,SectorID,SectorName,Year,Quarter,CAR_pred,Rank,Quantile5
GGBR4,2017-05-04,2017-05-05,0.0456258800539953,1,1.4792624528316232,504,GGBR4.SA.csv,31/03/2017,GERDAU,36025.82,-2076.571,1758.244,10.97,10.74,-1.21498577384,-3.87726874549,-8.3341718057,4.88051070038,-16.642356,-57.1766951,-326.7873796,,2623.646,-1772.153,14247.372,24916.345,19700.961,53557.572,,8634.633,20006.594,552.455,3304.935,consolidado,IFRS,BRL,2017-03-31,12,2017-04-03,2017-03-31,-1.097427332048836,-0.9415970580993877,-1.3120509510738405,-1.101764321452767,0.6268290062549969,0.909518965430049,-1.0368580767667364,0.7036870470254677,0.7095684316617801,-1.129102789493035,-0.0468525896461278,0.6728458185350797,-1.2640492544855972,-0.2892217141708144,0.4051554360513218,-1.1099692262692795,0.6309672231893977,0.983071186819388,-1.098166802018036,0.5436410506781407,-0.0284531062031161,-1.1125223929037382,0.7704663181448242,0.0545471748015032,-1.034628060832524,1.0233053594981,1.4374005088252544,-1.2609292244188202,-0.3886491063302266,-0.987167635463992,0.4450157734451996,-0.0216078362000929,0.8910415505157806,-1.94978198788818,-0.5488459539547932,-1.1645667065085938,,,,0.4948593718446801,-1.3758137594884083,-1.7343502112166649,1.358222424538435,0.8974885501459912,1.31856160784762,0.6821537012914118,0.059191896795643,-1.3402368614341074,-0.5735484346847814,0.5388979151351279,-1.5170500799933355,1.2035060168592997,-0.3658842246000859,-0.9435082667613442,0.4138353221305946,-0.2693794866907192,-1.5405024216423149,,,,0.1699923601013119,-0.1579279039223431,0.5475381162734053,0.7658578397088748,-0.8188414938202702,-1.4517437843182788,-1.1625765337983849,-0.0192190860711823,-0.4911090242565555,-1.0945310481991837,-0.5191551747093405,-0.956463991336462,0.6309672231893977,0.8029480674652457,1.784912299552548,-0.0032137146030131,-1.863533912428201,-1.3098514829670096,-1.1614965991470432,-1.208772221420105,-1.4364826995436444,-1.671418893808068,-1.876082376897213,-0.9816349105885674,-0.0287352572056356,-1.735184736967199,-1.5554107202164804,-1.0499004411422126,-0.1633547317554539,5,Materiais Básicos,2017,2,0.09112145,1,1
GRND3,2017-04-27,2017-04-28,0.0488909043185733,1,0.3583801009036627,504,GRND3.SA.csv,31/03/2017,GRENDENE,2079.473,665.085,483.986,22.67,22.62,2.21170089654,19.0922494226,22.4360628629,23.2744546335,-3.1138617,22.1141594,13.0478248,,474.526,-377.627,-1392.886,2964.357,193.287,3483.534,,464.541,54.636,188.733,1020.979,consolidado,IFRS,BRL,2017-03-31,12,2017-04-03,2017-03-31,-1.3644238650711893,0.5815520182472437,-0.6590910951891531,1.013901883977887,0.9878389511561888,1.4759094103627726,-0.048617114791566,0.7440833395468465,0.760304977369768,0.7258148032000883,1.0437268143319014,0.7282092517423334,0.7397299492350806,1.0691094057979824,0.6846741619222201,1.071054695535088,0.5209075950491332,1.0152233710810523,0.8937810348849935,0.0220077798115614,1.5634056638836211,1.2420561514304262,1.4029799718933296,1.538732245854755,0.6992530886215753,0.6827899996075663,1.352887184438702,-0.6870208682913811,1.091499337928299,0.1822529067435344,1.5876952180888255,0.8268840586136179,1.67661301524519,0.8629802151793041,1.382795125350494,1.341206257281706,,,,-0.5351988486756895,-1.1752102050908428,0.0560378275909746,-0.2829338191226588,-0.3192678160333603,-2.25748912330302,0.4586252824202871,-1.6119000868897364,-1.5943433417486348,-1.2914159160029883,-0.3451862663725465,1.2964904255570249,1.187863663388706,1.200829017259872,-1.7987536583591823,-0.5764896913164941,0.9362849648536776,0.1681975785494961,,,,1.2170937657796506,1.290340450639868,-0.7930949230195372,1.4753979448597545,0.4209413987616099,-0.906922003927873,1.6262919660995274,1.435433387425145,1.674488884567615,-0.6190494980670992,0.8702565070198712,-0.1359633879770047,0.5209075950491332,-0.1584261619851395,0.2022631200618251,0.0563235399170108,-1.138963624736334,-1.3526984827159352,-1.7889088468370622,0.8860108306799155,1.1531612257148924,1.7143247602566218,0.7817125755261367,1.3150653470605913,1.145547653673518,0.8763005189285996,1.6266877643778574,0.7795167154307728,1.0028264002019385,2,Consumo Cíclico,2017,2,0.085662015,2,1
GOAU4,2017-05-04,2017-05-05,0.1488961833742079,1,1.704370890600006,504,GOAU4.SA.csv,31/03/2017,GERDAU MET,36025.82,-2323.783,1748.789,4.98,4.82,-2.3856852385,-4.33511978463,-9.52887062251,4.85426563504,-16.642356,-55.8804476,-295.5245307,,2356.11,-2180.587,15027.666,24386.762,20481.419,53603.663,,8686.302,20530.599,560.734,3304.935,consolidado,IFRS,BRL,2017-03-31,12,2017-04-03,2017-03-31,-1.097427332048836,-0.9415970580993877,-1.3120509510738405,-1.1404409450571833,0.6463020974811453,1.0056674951389617,-1.0372440421372735,0.7041176908155666,0.8319065233973938,-1.2515389965299364,-0.0268062687813788,0.8072201007845389,-1.422556831591533,-0.1945790437631081,0.6430586160149557,-1.1447157777838195,0.713029502718082,1.2972707477069902,-1.1381745256199254,0.5526708060138484,-0.0133440516507054,-1.1445444914973482,0.8655168450929478,0.1981897587310299,-1.0349524092039128,1.0218462189415394,1.5188406219627058,-1.2609292244188202,-0.3886491063302266,-0.987167635463992,0.4667502707769613,-0.0521272874161489,1.2907349413949123,-1.9242409009794328,-0.5534552671132609,-1.0985746045976206,,,,0.1606808525753457,-1.4847527798878983,-1.797106216159727,1.3625867230141189,1.058582576996716,1.295414547164169,0.7619150119324174,0.20060355825108,-1.3287734502214674,-0.5382874191186222,0.803845177613471,-1.4311895435997732,1.1984114983489091,-0.2916426179747119,-1.0569246594372,0.4054287492686698,-0.3027604892928168,-1.5402064827282895,,,,-0.1551173126442685,-0.4840074608388212,0.2391450253226542,0.8170887507538643,-0.7337274395224375,-1.468563552588523,-1.3116892709341017,-0.9387332724394704,-0.5413972226009596,-1.0945310481991837,-0.5191551747093405,-0.956463991336462,0.713029502718082,0.7515075774276478,1.2379364665266832,0.004728141195726,-1.8980038158029229,-1.4205989806402346,-1.3177421791048969,-1.0500269606445096,-1.283172536331451,-1.5383985810266103,-1.6959531327465482,-0.6663309579509126,0.3947004177758592,-1.778692111130417,-1.6434360247452893,-0.9542822080064772,0.1248752683843222,5,Materiais Básicos,2017,2,0.08358048,3,1
FLRY3,2017-04-27,2017-04-28,0.1988333706922483,1,0.332198941412045,504,FLRY3.SA.csv,31/03/2017,FLEURY,2175.921,265.652,534.579,42.51,41.72,1.69081111701,8.78740947201,17.1567259801,24.5679415751,11.2428931,91.6957714,31.3513553,,525.786,-743.884,480.027,1548.384,817.2,3023.098,,558.78,915.934,1.068,650.653,consolidado,IFRS,BRL,2017-03-31,12,2017-04-03,2017-03-31,-1.3489493467066649,1.3804561757390603,-1.5179792997331474,-1.5102594492434644,1.2905029287235896,1.0637030468740074,-1.204290893972502,1.5280137234774915,0.6034695325575026,2.4390552962248155,1.5219134061438957,2.100897314956028,2.4760924935190767,1.570803742616177,2.083772386584138,2.363687585365228,1.1081446781885662,2.026388483813776,0.30991226122637,1.076185769642866,1.261486199876996,-1.093905738803616,0.9391912965762256,1.2940018322139288,-0.9872101909793431,1.8242734767437256,1.2583075533970425,-0.3042295926972563,0.9648179124209704,-0.6692302103599099,1.2749117280452853,-0.8559764529182226,0.5480609255708239,1.2870297650908646,-0.6072838028457641,0.3264446667365923,,,,-0.9512156079370242,-0.2000664395072922,0.0977797480099779,-1.0188140278946989,-0.141076406762441,-0.7756359317894438,0.0099804820577891,0.1391206614272781,0.4795039914709521,-1.7110157754289532,0.1659033219743505,-1.7261748687655605,-1.1803018688962366,-0.1394695951177721,-0.7857412055231172,-1.2164868054712217,-0.3763379780902962,-1.4004728078052116,,,,-0.8282700179682125,1.0190057246672988,0.6122771099359627,-1.0676022619494034,-1.0157545278903009,-1.2504403827925137,-0.7974141718571103,-0.1166857004063764,-0.8828814708337207,-1.3982716023796775,2.4893288874083117,0.9325448732437353,1.1081446781885662,-0.1619112854905324,0.5902753295487038,0.1053182046320391,-0.9762591923614656,-1.1896386423116998,-1.588823190815499,1.78291889134702,1.8120251870576296,1.776514816053011,0.93642961818099,1.1495111317994062,0.9474081325446848,1.421155040064038,1.596549829953379,0.9096192531953958,1.4420813429399797,7,Saúde,2017,2,0.07158451,4,1
QUAL3,2017-05-11,2017-05-12,0.2849243976271489,1,0.7576617151655127,504,QUAL3.SA.csv,31/03/2017,QUALICORP,2016.67,333.768,752.921,20.55,20.4,1.21135564255,8.97072436003,15.2661937565,37.3348639093,13.130757,-15.3794473,12.1474544,,787.517,,-95.99,2186.321,639.124,3720.636,,746.375,787.94,367.569,1501.579,consolidado,IFRS,BRL,2017-03-31,12,2017-04-03,2017-03-31,0.3492886519016863,1.4687637472878088,1.4261063725979723,-1.9456524537018869,-3.1019413804933693,-1.2655752908322533,-1.1420972059977592,0.1373854300686573,-0.8270193186478918,-0.3114912741292059,0.0735070400775482,0.3578842208913003,-0.2944305018685416,0.1133898803364184,0.2844410307982422,-1.669211446695221,-3.1815053510643887,-1.2524873345906673,-1.7719970510684402,-2.4115414389501444,-1.20295683132691,-1.2582662971172225,-2.8823629901815497,-0.9377244507409038,-1.0889234335764544,-0.3565108321023021,-1.4397882357048375,1.481045587590353,0.3400714311888381,0.9919582008296906,-1.04523715383509,-3.0683290895224404,-2.2184156936563264,-0.6965927282218632,0.004161200824305,0.2735359294626233,,,,1.0266772449549677,1.7132660869228469,1.0801556810875932,,,,-0.7838780061250437,-1.558821032102122,-0.7698392024984515,-0.976335810708754,1.2322414329022673,-0.8615625157120005,-0.2827485063517355,-0.2702134823066742,0.0800676198700323,0.1164855876075351,0.3568164534446537,0.1539152421016744,,,,0.0451883263616139,0.259750670886058,-0.2214364549774023,0.3163654076945237,-0.2476260702101797,0.5052785104839768,1.2733792581175476,-0.0459445856358397,1.497703598804287,-1.5023012140769094,1.3110065995563924,1.3926827278673255,-3.1815053510643887,-2.5289839367378355,-2.8098579223194804,0.0794221677845853,-0.2104224397354442,-0.5983836866227746,-0.7523913789557153,1.470855277180923,1.5122468326376954,1.3769746452852405,1.45041871513925,0.3724109418602163,-0.0715160734053813,1.300359466852902,0.8157184840604168,0.4779833054294612,0.9294071395871716,7,Saúde,2017,2,0.067949496,5,1
MDIA3,2017-05-05,2017-05-08,0.0198883776169551,1,0.5002666284940307,504,MDIA3.SA.csv,31/03/2017,M.DIASBRANCO,5380.464,879.238,1018.574,127.79,129.13,7.78086725664,15.2847690869,19.4392186975,18.9309695223,13.4436172,53.4275404,56.9574805,,997.825,-217.867,-354.943,4523.011,573.931,5752.38,,698.249,531.12,115.214,2213.313,consolidado,IFRS,BRL,2017-03-31,12,2017-04-03,2017-03-31,-0.965196757609318,-0.1718880688144718,0.9675585642446904,0.9531474849037777,1.7751844203496328,1.5086503844777357,1.036540754244104,1.8029666252062764,1.7463716167318502,2.448123206978452,0.9775622569700833,1.830882312040956,2.5298198761586663,1.14948377064465,1.841091231507966,2.363687585365228,0.8693380861759609,1.7879748245022038,1.2248675065031005,1.9497204703774171,1.5405800124178,1.2734649924169976,1.8024601657603216,1.652851843321678,1.142575088952279,2.1173120632687934,1.721443413002183,1.1580267192431777,-0.2977061710014654,0.8502354128494876,1.684080823772704,1.7917193350927945,1.5972403712951326,1.9906740316492435,1.8468322434434328,1.839810961536477,,,,1.0734833079777517,0.2824175263145142,1.832257474374308,-0.2224040495605773,-0.0232269706185638,-0.0384928584026545,-0.7412363698273321,-0.4154295034575072,-0.931162000901345,-1.3926722142079866,0.936089541776138,1.02173318453715,-0.7551752398535266,-0.3716083461700154,-0.5433238308507223,-1.1775314926711349,-0.3589448168416256,-0.3522104604672135,,,,-0.8767806786918011,-0.5815102843046941,-0.3694092829490814,-0.9199539950999324,-0.3141008145569188,-0.8409222449354995,0.2514947327445604,-0.2237576509949309,-0.0185067268059969,-0.1340573538382049,1.4472277725247826,1.7233246992754023,0.8693380861759609,-0.0292946508398852,0.6966158392894508,0.0275920057497951,0.7651635238629273,-0.049043504961455,-0.8217349246573454,1.5665251677986451,1.7356391053887494,1.7804893620000366,1.810624552504964,1.4748531590648115,0.7297509964589888,2.2863542744550407,1.4657925150099975,0.9415696317248966,1.796808662569675,3,Consumo Não Cíclico,2017,2,0.06592348,6,1
VVAR3,2017-04-26,2017-04-27,-0.0772955389212522,0,0.3727752867566687,504,VVAR3.SA.csv,31/03/2017,CASAS BAHIA,21108.0,-7.0,1276.0,3.64,3.81,-0.00542144786736,-0.0412322554044,-0.240798073615,6.04510138336,13.5816,-96.7593,74.0791,,792.0,-1267.0,3218.0,2907.0,3744.0,16977.0,,11434.0,2636.0,1269.0,7141.0,consolidado,IFRS,BRL,2017-03-31,12,2017-04-03,2017-03-31,-1.622577870453256,0.8022773217187126,-0.081002385966437,0.2210189761028391,0.7119652117298916,0.6015203071054497,0.4805839126510906,0.8110735092882604,1.1371693690730529,-1.2505584356327422,-0.3752496190275913,0.0273968188518623,-1.1143297539068662,-0.2753154029448546,-0.007005757382853,0.2207728105107455,0.7217022695954523,0.6034811471334959,0.1726358076191058,0.6241271317661089,0.6313176951514515,0.3272976415308022,0.7299355255266796,0.5165525367860182,1.0366002249288797,0.7501235226877757,1.6150105381445328,-0.0032945670414248,1.3769875616302458,1.0327276204818585,0.4731559619055142,0.6343569768557213,0.4138824745833538,1.6105975495590037,2.150058693842465,1.802042089040242,,,,0.8757985031404231,1.742249409523403,0.34291990343964,-1.2647472904443744,-0.540025770792071,-1.3392108755747092,0.4400195141938049,1.8407415684633828,0.4400523970289072,0.628543149638282,0.7877091557581059,-1.005290712900024,-0.7646936265643779,-0.9511852299238353,-0.0766983104300217,-0.9760618899883398,-0.7528934706512926,-0.4157259366870607,,,,-1.0552671519832042,-0.814167920329719,1.0610753723481945,-0.5180689241637183,-0.2620639762959573,-0.4745456630780757,-1.2597614676355309,-1.4062531996287495,-0.615180168244041,-1.0242811864338746,1.0198882881097069,0.7405813446757123,0.7217022695954523,-0.7179317239059334,1.3842169871905217,0.0327898228294743,-1.242570214617588,-1.3085461342746765,-1.4460374387795991,0.2027957916040489,0.2459936930063908,0.2572446105276362,0.1612202706415288,0.1973560034811192,0.2034087504890648,0.3383740495507967,0.7211022558490197,0.2506817917936911,0.3214844224760386,2,Consumo Cíclico,2017,2,0.06216705,7,1
POMO4,2017-05-08,2017-05-09,0.1007050246340379,1,0.7252341688728124,504,POMO4.SA.csv,31/03/2017,MARCOPOLO,2700.399,217.003,241.293,2.62,2.7,0.235791334551,4.6136356775,11.6347323593,8.93545731575,7.5577639,240.119432,97.1863559,,-52.058,-229.917,893.744,1865.131,2182.072,4703.514,,1469.539,1368.844,253.153,330.631,consolidado,IFRS,BRL,2017-03-31,12,2017-04-03,2017-03-31,-1.1134376683813847,-0.1890779534398499,-0.9357269655787014,0.8404473647579811,-0.0563372918239135,1.0025232215607838,0.4704852307715559,-0.186694996981743,0.5104489182708847,-1.6713335817367,-0.24127183644776,-0.3345914197652916,-1.5429333150047069,-0.1475148601287643,-0.2285879764178696,0.892180304138684,-0.043768551538046,1.0177124741356662,1.043565344411829,0.1549565274089595,1.0755119027452222,1.1962620869537226,-0.0056471137033882,1.1394858512350243,1.174286040115774,-0.2580946375240073,0.7649879122901041,-0.8811559009997845,1.3583611802375246,1.049090706321017,1.3044447311954026,0.6313876861429188,1.1395059601013908,-0.2848737327647143,0.0931213623324985,0.066193143279888,,,,-1.5282593914497773,-0.92343167942497,-0.895722858511086,0.9739729782528296,1.20169840683968,0.0368984282494437,0.1565936215822351,0.5885090698781582,-0.8864904916878739,-1.1881734521101377,-0.7705935547565429,-0.6898144770787333,1.3276674251632004,-0.7781862292353233,1.3249374250985553,-1.1151205365598422,-1.5623158204751906,0.4440845018723304,,,,-1.1116560978747203,-1.0007523114779988,0.2583860182268411,1.237668475920536,-0.7432603995926595,0.8743075544776069,-0.2627804723225472,-0.0896660915033016,0.959275720904736,-1.2055018598404317,-0.4468178137967021,-1.310867145399208,-0.043768551538046,0.353793450028891,0.2956956078398172,0.085713518273296,-1.9442862683611943,-1.8760280132124263,-1.485024444212285,0.6433976246611122,0.2660972022536343,-0.475703433652252,-0.7601825084201593,-1.7227960111964045,-1.194565035403537,-0.3952249602416364,-1.5433479227164038,-1.3531939669162587,0.0576582216620126,1,Bens Industriais,2017,2,0.06164122,8,1
GGBR3,2017-05-04,2017-05-05,0.0758245794138458,1,1.336721864451607,504,GGBR3.SA.csv,31/03/2017,GERDAU,36025.82,-2076.571,1758.244,10.49,10.36,-1.21498577384,-3.87726874549,-8.3341718057,4.88051070038,-16.642356,-57.1766951,-326.7873796,,2623.646,-1772.153,14247.372,24916.345,19700.961,53557.572,,8634.633,20006.594,552.455,3304.935,consolidado,IFRS,BRL,2017-03-31,12,2017-04-03,2017-03-31,-1.097427332048836,-0.9415970580993877,-1.3120509510738405,-1.101764321452767,0.6268290062549969,0.909518965430049,-1.0368580767667364,0.7036870470254677,0.7095684316617801,-0.5333566010448967,1.422106348840739,1.4272386980598597,-0.6533371403153567,1.7413057663404738,1.330448586275411,-1.1099692262692795,0.6309672231893977,0.983071186819388,-1.098166802018036,0.5436410506781407,-0.0284531062031161,-1.1125223929037382,0.7704663181448242,0.0545471748015032,-1.034628060832524,1.0233053594981,1.4374005088252544,-1.2609292244188202,-0.3886491063302266,-0.987167635463992,0.4450157734451996,-0.0216078362000929,0.8910415505157806,-1.94978198788818,-0.5488459539547932,-1.1645667065085938,,,,0.4948593718446801,-1.3758137594884083,-1.7343502112166649,1.358222424538435,0.8974885501459912,1.31856160784762,0.6821537012914118,0.059191896795643,-1.3402368614341074,-0.5735484346847814,0.5388979151351279,-1.5170500799933355,1.2035060168592997,-0.3658842246000859,-0.9435082667613442,0.4138353221305946,-0.2693794866907192,-1.5405024216423149,,,,0.1699923601013119,-0.1579279039223431,0.5475381162734053,0.7658578397088748,-0.8188414938202702,-1.4517437843182788,-1.1625765337983849,-0.0192190860711823,-0.4911090242565555,-1.0945310481991837,-0.5191551747093405,-0.956463991336462,0.6309672231893977,0.8029480674652457,1.784912299552548,0.0065934304809965,-1.6596336166775014,-1.1462189004062957,-1.5422321329033222,-1.192142737709443,-1.2817039752823292,-1.1408998931515668,-1.3108188612565017,0.5128876180757374,1.743954790199579,-2.098476788529062,0.2530485365208931,0.4669591277467977,0.5526600595170865,5,Materiais Básicos,2017,2,0.058883406,9,1
ANIM3,2017-05-10,2017-05-11,0.0864792889587746,1,0.6719469274071044,504,ANIM3.SA.csv,31/03/2017,ANIMA,981.232,17.974,105.227,13.41,13.0,0.224621141466,1.26826025937,2.61018573648,10.7239674205,12.2831108,-66.1646775,15.0348733,,160.978,-64.637,175.667,688.61,360.112,1417.217,,270.286,458.321,67.65,359.576,consolidado,IFRS,BRL,2017-03-31,12,2017-04-03,2017-03-31,-1.3544972048439996,0.106237303479659,1.5467557996171912,-0.380601127296758,0.0683703570479838,-0.3026264337588527,-0.6775804754813732,-0.0502918948108228,0.0200134068574341,-1.1672296865191576,-0.217128919473716,0.162076968326166,-1.2176919968769786,-0.2333124850040271,0.1210247269454873,-0.3882512047843758,0.0684418620100769,-0.295736085023681,-0.397101861995017,0.0458397907399184,-0.3373969108028383,-0.3771488939460015,-0.0115449527859573,-0.3102471490219294,-0.463934769453219,0.0013013001451781,-0.0118493309016859,1.6269980129231965,0.0867314762758088,0.3850732745643479,-0.5084109157869681,0.0404923036939167,0.0860451568692602,0.0356163373412405,0.1540595575446033,1.040995951777615,,,,0.0738335697072411,0.7521746679554744,1.7653976804995617,0.1070883475746007,0.0312249556038265,-0.9492658723911336,-0.5595403254264132,-0.5494333186289853,-0.6787351343386402,-0.1420070966381824,1.8836955540737248,-0.0981999864725744,-0.5355352573413356,-0.5003809306368437,-0.5844287144544107,-0.5649641915719995,-0.2104159871936818,-0.4256862844428503,,,,0.0818231580233925,-0.2619183311028815,-0.1088494381815753,-0.6547757265207771,-0.4992232374092093,-0.4121541475619191,0.8194750970389083,0.76407184617929,0.9899693334389122,-1.226609000754643,0.029875107189584,-1.0058483638925475,0.0684418620100769,0.9760892326840864,0.2401429257516418,0.0499293326990966,-1.1962247792482077,-1.3305524578136476,-1.4264436183527611,2.1929600547406505,2.2582213020501767,1.6565101416504593,0.8829054115648758,0.1141786387203762,-0.2836777282720253,1.6858743833473442,0.7534312167833377,0.0823630987999512,0.7827572415707792,2,Consumo Cíclico,2017,2,0.053724892,10,1
