RankStart,AvgCAR30
1,0.010138817043160699
2,0.007960893027087548
3,0.009150930218846588
4,0.01009463592788011
5,0.0044767817893135034
6,0.00026740885377633637
7,0.0008977408649890259
8,0.000519687218403767
9,0.0003610753739120412
10,-3.021897636272211e-05
11,-0.0004002836032285686
12,-0.001057575942213955
13,-0.0033247290812867336
14,-0.0006269907601293262
15,-0.0015526105912546523
16,-0.0038385646531048324
17,-0.00011674026967946411
18,-0.0028459223869872737
19,-0.008504020106618503
20,-0.008138940164112832
21,-0.008541980781165115
22,-0.011017274639662455
