RankStart,AvgCAR30
1,0.019424042946903648
2,0.019430654673520776
3,0.01915588953182534
4,0.01715389409434692
5,0.015745044267032923
6,0.01568484262545685
7,0.014083278560198715
8,0.010571349199114188
9,0.008463699898689366
10,0.008720978774038267
11,0.009092295516090521
12,0.007783288043850925
13,0.007776841938336565
14,0.006929005833364358
15,0.005687799111679916
16,0.0036701111048702616
17,0.0008111893889113081
18,0.0004805796454254477
19,-0.002003639145470022
20,-0.004161167728705277
21,-0.0037644523669901897
