RankStart,AvgCAR30
1,-0.010305756980263491
2,-0.009983850581713105
3,-0.00946229115860824
4,-0.008429504650181666
5,-0.00906132886159017
6,-0.005273517419067765
7,-0.010518282456241668
8,-0.012429122607620014
9,-0.014050603757997833
10,-0.012740827539079225
11,-0.013895085337407891
12,-0.012852916452561002
13,-0.012586951342456916
14,-0.011619198047050597
15,-0.013877611606136191
16,-0.01397385498352251
17,-0.015449647350226255
18,-0.015787918807962834
19,-0.020269887622052868
20,-0.018289672736974568
21,-0.016390641531060443
22,-0.01810296804786022
23,-0.01801389046132285
24,-0.01949800002515255
25,-0.021517959133600523
26,-0.02011088733701636
27,-0.021759962262599658
28,-0.019285479448321954
29,-0.019039473253786545
30,-0.020804185705615666
31,-0.022673780817609356
32,-0.022139600408693626
33,-0.02314024205535619
34,-0.024632133022173753
35,-0.02948824947129265
36,-0.02839803813305196
37,-0.031341728464489696
38,-0.03195733802247306
39,-0.0329414982833183
