RankStart,AvgCAR30
1,0.04447465053380624
2,0.040932548915553285
3,0.03855109708039233
4,0.03590315432519096
5,0.03408334068174259
6,0.03277970243162088
7,0.03293138001291332
8,0.027426043306504725
9,0.02686222702760492
10,0.027594924765358943
11,0.026079670426267396
12,0.02388248867112621
13,0.023241457004251797
14,0.019249569862689376
15,0.019107163591146437
16,0.020044814643525824
17,0.019124082997827987
18,0.019121275752587787
19,0.02188084815962396
20,0.020909985113487264
21,0.02107571611007908
22,0.017662803171008632
23,0.015722272491586996
24,0.014209041837694393
25,0.014694242620166558
26,0.01463469330931786
27,0.015733060086560276
28,0.015608473230032316
